jornada,homeTeam_fullName,homeTeam_abbName,awayeam_fullName,awayTeam_abbName
18,BAXI Manresa,BAX,Unicaja,UNI
18,Real Madrid,RMB,Casademont Zaragoza,CAZ
18,Valencia Basket,VBC,Hiopos Lleida,HIO
18,La Laguna Tenerife,LLT,Baskonia,BKN
18,UCAM Murcia,UCM,Barça,BAR
19,Recoletas Salud San Pablo Burgos,BUR,La Laguna Tenerife,LLT
19,Unicaja,UNI,MoraBanc Andorra,MBA
19,Dreamland Gran Canaria,DGC,Surne Bilbao Basket,SBB
19,Río Breogán,BRE,UCAM Murcia,UCM
19,Hiopos Lleida,HIO,BAXI Manresa,BAX
19,Joventut Badalona,JOV,Valencia Basket,VBC
19,Real Madrid,RMB,Coviran Granada,COV
19,Baskonia,BKN,Casademont Zaragoza,CAZ
19,Barça,BAR,Bàsquet Girona,GIR
20,Casademont Zaragoza,CAZ,Joventut Badalona,JOV
20,Coviran Granada,COV,Dreamland Gran Canaria,DGC
20,La Laguna Tenerife,LLT,Río Breogán,BRE
20,UCAM Murcia,UCM,Recoletas Salud San Pablo Burgos,BUR
20,Hiopos Lleida,HIO,Bàsquet Girona,GIR
20,MoraBanc Andorra,MBA,Valencia Basket,VBC
20,Barça,BAR,BAXI Manresa,BAX
20,Surne Bilbao Basket,SBB,Baskonia,BKN
20,Unicaja,UNI,Real Madrid,RMB
21,BAXI Manresa,BAX,La Laguna Tenerife,LLT
21,MoraBanc Andorra,MBA,Casademont Zaragoza,CAZ
21,Recoletas Salud San Pablo Burgos,BUR,Surne Bilbao Basket,SBB
21,Bàsquet Girona,GIR,Unicaja,UNI
21,Río Breogán,BRE,Barça,BAR
21,Valencia Basket,VBC,UCAM Murcia,UCM
21,Joventut Badalona,JOV,Coviran Granada,COV
21,Baskonia,BKN,Hiopos Lleida,HIO
21,Dreamland Gran Canaria,DGC,Real Madrid,RMB
22,Unicaja,UNI,Casademont Zaragoza,CAZ
22,UCAM Murcia,UCM,Dreamland Gran Canaria,DGC
22,La Laguna Tenerife,LLT,Valencia Basket,VBC
22,Surne Bilbao Basket,SBB,Río Breogán,BRE
22,Bàsquet Girona,GIR,MoraBanc Andorra,MBA
22,Recoletas Salud San Pablo Burgos,BUR,Baskonia,BKN
22,Real Madrid,RMB,Hiopos Lleida,HIO
22,Coviran Granada,COV,BAXI Manresa,BAX
22,Joventut Badalona,JOV,Barça,BAR
23,BAXI Manresa,BAX,UCAM Murcia,UCM
23,MoraBanc Andorra,MBA,Surne Bilbao Basket,SBB
23,Unicaja,UNI,La Laguna Tenerife,LLT
23,Casademont Zaragoza,CAZ,Recoletas Salud San Pablo Burgos,BUR
23,Hiopos Lleida,HIO,Joventut Badalona,JOV
23,Dreamland Gran Canaria,DGC,Río Breogán,BRE
23,Baskonia,BKN,Bàsquet Girona,GIR
23,Valencia Basket,VBC,Coviran Granada,COV
23,Barça,BAR,Real Madrid,RMB
24,Río Breogán,BRE,BAXI Manresa,BAX
24,UCAM Murcia,UCM,Surne Bilbao Basket,SBB
24,Coviran Granada,COV,Hiopos Lleida,HIO
24,Bàsquet Girona,GIR,Real Madrid,RMB
24,Joventut Badalona,JOV,Dreamland Gran Canaria,DGC
24,La Laguna Tenerife,LLT,Casademont Zaragoza,CAZ
24,MoraBanc Andorra,MBA,Baskonia,BKN
24,Recoletas Salud San Pablo Burgos,BUR,Valencia Basket,VBC
24,Barça,BAR,Unicaja,UNI
25,Surne Bilbao Basket,SBB,Unicaja,UNI
